,$\rho r_{hs}$,$\delta \rho r_{hs}$,$T_{hs}$,\delta T_{hs},ignIndex
0,1.67,0.07,6.0,1.5,50.0
1,1.08,0.07,9.0,1.5,66.0
2,0.93,0.07,11.0,1.5,85.0
3,1.23,0.07,11.0,1.5,87.0
4,0.78,0.07,14.0,1.5,104.0
5,0.78,0.07,16.0,1.5,124.0
6,0.64,0.07,19.0,1.5,143.0
7,0.64,0.07,22.0,1.5,163.0
8,0.64,0.07,24.0,1.5,183.0
9,0.64,0.07,27.0,1.5,203.0
10,0.64,0.07,29.0,1.5,223.0
11,0.64,0.07,32.0,1.5,243.0
12,0.64,0.07,35.0,1.5,263.0
13,0.64,0.07,37.0,1.5,283.0
14,0.49,0.07,40.0,1.5,302.0
15,0.49,0.07,42.0,1.5,322.0
16,0.49,0.07,45.0,1.5,342.0
17,0.49,0.07,50.0,1.5,382.0
